transit_date,transit_time,transit_mode,station_complex_id,station_complex,borough,ridership
7/5/2022,13:00,subway,445,Pelham Pkwy (5),Bronx,6
7/22/2022,18:00,subway,445,Pelham Pkwy (5),Bronx,23
7/15/2022,14:00,subway,445,Pelham Pkwy (5),Bronx,16
4/19/2022,6:00,subway,445,Pelham Pkwy (5),Bronx,28
12/1/2022,6:00,subway,445,Pelham Pkwy (5),Bronx,17
4/5/2022,19:00,subway,445,Pelham Pkwy (5),Bronx,5
7/26/2022,22:00,subway,445,Pelham Pkwy (5),Bronx,2
8/18/2022,20:00,subway,445,Pelham Pkwy (5),Bronx,2
9/3/2022,23:00,subway,445,Pelham Pkwy (5),Bronx,1
4/25/2022,9:00,subway,445,Pelham Pkwy (5),Bronx,8
4/14/2022,11:00,subway,445,Pelham Pkwy (5),Bronx,3
9/25/2022,19:00,subway,445,Pelham Pkwy (5),Bronx,2
7/27/2022,20:00,subway,445,Pelham Pkwy (5),Bronx,7
10/18/2022,20:00,subway,445,Pelham Pkwy (5),Bronx,3
12/29/2022,14:00,subway,445,Pelham Pkwy (5),Bronx,6
11/20/2022,17:00,subway,445,Pelham Pkwy (5),Bronx,4
7/4/2022,20:00,subway,445,Pelham Pkwy (5),Bronx,3
2/15/2022,11:00,subway,445,Pelham Pkwy (5),Bronx,17
3/29/2022,22:00,subway,445,Pelham Pkwy (5),Bronx,1
6/27/2022,8:00,subway,445,Pelham Pkwy (5),Bronx,11
5/16/2022,21:00,subway,445,Pelham Pkwy (5),Bronx,1
12/3/2022,23:00,subway,445,Pelham Pkwy (5),Bronx,1
6/7/2022,9:00,subway,445,Pelham Pkwy (5),Bronx,6
2/12/2022,12:00,subway,445,Pelham Pkwy (5),Bronx,15
10/2/2022,19:00,subway,445,Pelham Pkwy (5),Bronx,2
7/28/2022,13:00,subway,445,Pelham Pkwy (5),Bronx,9
5/8/2022,21:00,subway,445,Pelham Pkwy (5),Bronx,6
12/20/2022,23:00,subway,445,Pelham Pkwy (5),Bronx,1
3/28/2022,9:00,subway,445,Pelham Pkwy (5),Bronx,11
4/5/2022,14:00,subway,445,Pelham Pkwy (5),Bronx,27
2/19/2022,8:00,subway,445,Pelham Pkwy (5),Bronx,9
4/4/2022,13:00,subway,445,Pelham Pkwy (5),Bronx,15
4/14/2022,18:00,subway,445,Pelham Pkwy (5),Bronx,8
9/28/2022,20:00,subway,445,Pelham Pkwy (5),Bronx,8
9/11/2022,14:00,subway,445,Pelham Pkwy (5),Bronx,8
6/22/2022,5:00,subway,445,Pelham Pkwy (5),Bronx,12
9/15/2022,18:00,subway,445,Pelham Pkwy (5),Bronx,11
12/20/2022,7:00,subway,445,Pelham Pkwy (5),Bronx,33
6/12/2022,19:00,subway,445,Pelham Pkwy (5),Bronx,1
7/4/2022,2:00,subway,445,Pelham Pkwy (5),Bronx,1
12/25/2022,12:00,subway,445,Pelham Pkwy (5),Bronx,6
9/29/2022,8:00,subway,445,Pelham Pkwy (5),Bronx,16
4/24/2022,13:00,subway,445,Pelham Pkwy (5),Bronx,6
2/25/2022,19:00,subway,445,Pelham Pkwy (5),Bronx,4
2/7/2022,18:00,subway,445,Pelham Pkwy (5),Bronx,9
3/3/2022,10:00,subway,445,Pelham Pkwy (5),Bronx,18
7/14/2022,7:00,subway,445,Pelham Pkwy (5),Bronx,8
4/28/2022,15:00,subway,445,Pelham Pkwy (5),Bronx,9
3/26/2022,7:00,subway,445,Pelham Pkwy (5),Bronx,5
